RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
USER	SmokeTest	125	END	1570478522738	1570478523787
USER	SmokeTest	128	START	1570478523788	1570478523788
REQUEST	126		SmokeTest	1570478522810	1570478523955	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	126	END	1570478522768	1570478523956
USER	SmokeTest	129	START	1570478523956	1570478523956
REQUEST	127		SmokeTest	1570478523023	1570478524062	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	127	END	1570478523022	1570478524064
USER	SmokeTest	130	START	1570478524064	1570478524064
REQUEST	128		SmokeTest	1570478523790	1570478524748	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	128	END	1570478523788	1570478524752
USER	SmokeTest	131	START	1570478524752	1570478524752
REQUEST	129		SmokeTest	1570478523957	1570478525083	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
REQUEST	130		SmokeTest	1570478524065	1570478525087	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	130	END	1570478524064	1570478525089
USER	SmokeTest	132	START	1570478525089	1570478525089
USER	SmokeTest	129	END	1570478523956	1570478525107
USER	SmokeTest	133	START	1570478525108	1570478525108
REQUEST	131		SmokeTest	1570478524753	1570478526052	OK	 
USER	SmokeTest	131	END	1570478524752	1570478526053
USER	SmokeTest	134	START	1570478526054	1570478526054
REQUEST	133		SmokeTest	1570478525108	1570478526164	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	133	END	1570478525108	1570478526166
USER	SmokeTest	135	START	1570478526166	1570478526166
REQUEST	132		SmokeTest	1570478525090	1570478526201	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	132	END	1570478525089	1570478526203
USER	SmokeTest	136	START	1570478526203	1570478526203
REQUEST	134		SmokeTest	1570478526055	1570478527190	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	134	END	1570478526054	1570478527199
USER	SmokeTest	137	START	1570478527199	1570478527199
REQUEST	135		SmokeTest	1570478526167	1570478527299	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	135	END	1570478526166	1570478527301
USER	SmokeTest	138	START	1570478527301	1570478527301
